,freesound_id,license,name,path,tags,username
30,151822,http://creativecommons.org/publicdomain/zero/1.0/,Scratch Sample,files/151822_1587289-hq.ogg,"['domain', 'dj', 'scratch', 'vocal', 'turntable', 'scratching', 'turntablism', 'public']",templeofhades
31,527374,http://creativecommons.org/publicdomain/zero/1.0/,DJ Scratch 1.wav,files/527374_3364318-hq.ogg,"['dj-scratch', 'scratch', 'vinyl-scratch', 'record', 'vinyl', 'hip-hop-scratch']",Trapmusicallstar
32,527375,http://creativecommons.org/publicdomain/zero/1.0/,DJ Scratch 2.wav,files/527375_3364318-hq.ogg,"['scratch', 'dj', 'vinyl', 'hip-hop', 'dj-scratch']",Trapmusicallstar
33,454716,http://creativecommons.org/publicdomain/zero/1.0/,SCRATCH_BACK_DRAG_001.aif,files/454716_7005313-hq.ogg,"['RECORD', 'CUTS', 'DJ', 'VINYL', 'SCRATCH']",G_M_D_THREE
34,58280,http://creativecommons.org/licenses/by/3.0/,scratch.mp3,files/58280_169613-hq.ogg,"['deck', 'dj', 'hip', 'hop', 'sample', 'scratch', 'vinly']",feveran
35,58281,http://creativecommons.org/licenses/by/3.0/,scratch2.mp3,files/58281_169613-hq.ogg,"['deck', 'dj', 'hip', 'hop', 'scratch', 'vinly']",feveran
36,208759,http://creativecommons.org/publicdomain/zero/1.0/,Babyscratch.wav,files/208759_3895722-hq.ogg,"['scratching', 'scratch', 'dj', 'record-scratch', 'turntablism']",NobodyYouKnowOf
37,427413,http://creativecommons.org/licenses/by/3.0/,Game sound,files/427413_4937681-hq.ogg,"['sound', 'Video-game', 'noise', 'DJ', 'sfx', 'SFX', 'fx', 'scratch', 'abstract', 'effect', 'pulse', 'glitch', 'Game', 'strange', 'Pulses', 'soundeffect', 'scratching', 'electric', 'electronic', 'sci-fi']",Mega-X-stream
38,153008,http://creativecommons.org/publicdomain/zero/1.0/,DJ 01,files/153008_861714-hq.ogg,"['male', 'word', 'vocal', 'deep']",Department64
39,531162,http://creativecommons.org/licenses/by/3.0/,Record Dj Scratch whoosh mod.wav,files/531162_9892063-hq.ogg,"['Record', 'mod', 'whoosh', 'Dj', 'Scratch']",ryusa
