,end_sample,energy,freesound_id,id,key,key_strength,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,scale,spec_centroid,start_sample
0,24064,59.738319396972656,,None_f0,C#,0.4973604381084442,0.003025656193494797,-725.61767578125,135.08837890625,2.1775283813476562,3.0659732818603516,-3.0000076293945312,1.103759765625,48.83274841308594,15.820220947265625,22.307727813720703,21.513713836669922,12.153518676757812,-4.953874588012695,0.2767524719238281,edited_ready_go.wav,minor,1118.889892578125,18944
1,29184,242.73190307617188,,None_f1,Eb,0.5219952464103699,0.007740429788827896,-779.4305419921875,116.38829040527344,9.588153839111328,3.4834747314453125,5.124351501464844,60.06203079223633,36.094947814941406,31.74879264831543,23.142520904541016,14.935314178466797,13.335561752319336,6.1965484619140625,6.152767181396484,edited_ready_go.wav,minor,925.4116821289062,24064
2,34304,61.619258880615234,,None_f2,G,0.29491662979125977,0.0030891578644514084,-725.604736328125,119.8780746459961,7.978673934936523,1.6087188720703125,4.707241058349609,25.159557342529297,24.47867774963379,16.447574615478516,18.37282943725586,16.592180252075195,1.6995391845703125,3.862058639526367,8.185846328735352,edited_ready_go.wav,minor,1069.92919921875,29184
3,39424,304.5101623535156,,None_f3,C,0.5936030149459839,0.009010383486747741,-839.6183471679688,129.9563751220703,8.153411865234375,4.206449508666992,0.03786277770996094,65.60472106933594,37.35985565185547,20.78676986694336,28.316617965698242,13.341312408447266,10.861669540405273,6.127765655517578,7.815946578979492,edited_ready_go.wav,major,560.5992431640625,34304
4,44928,130.2040557861328,,None_f4,F,0.6590775847434998,0.004743730606034745,-802.5302734375,129.76876831054688,10.02354621887207,7.617143630981445,1.3527984619140625,51.82906723022461,47.929718017578125,34.126739501953125,29.37646484375,17.001781463623047,11.680625915527344,4.436885833740234,3.225128173828125,edited_ready_go.wav,major,1335.6182861328125,39424
5,50432,134.02301025390625,,None_f5,F#,0.7015831470489502,0.00483650662178217,-640.71484375,89.88037872314453,8.233869552612305,6.678670883178711,-0.2307910919189453,8.347282409667969,42.97817611694336,17.675771713256836,19.447359085083008,14.06631088256836,8.96877670288086,-7.0230255126953125,-20.137340545654297,edited_ready_go.wav,minor,1816.306396484375,44928
6,55936,458.4133605957031,,None_f6,Eb,0.45582228899002075,0.011024628960809042,-681.0100708007812,103.6713638305664,4.240209579467773,1.1192436218261719,-0.2824554443359375,67.59860229492188,37.69651794433594,25.98870849609375,23.399877548217773,24.258756637573242,7.538242340087891,4.850862503051758,4.753934860229492,edited_ready_go.wav,major,918.9827270507812,50432
7,61440,64.36721801757812,,None_f7,F#,0.3011660575866699,0.002958877488624218,-677.286376953125,87.00080108642578,3.8284988403320312,10.554197311401367,8.865234375,-9.917718887329102,40.67839431762695,25.79615592956543,24.682157516479492,17.148908615112305,9.923982620239258,0.6116485595703125,11.037324905395508,edited_ready_go.wav,minor,1686.949462890625,55936
8,66688,18.56006622314453,,None_f8,F,0.4989224374294281,0.0013488214917299225,-794.6151733398438,144.4606170654297,7.6378936767578125,4.139215469360352,0.4129295349121094,27.657421112060547,38.56256866455078,32.830657958984375,26.13467025756836,10.879165649414062,2.8749008178710938,-1.0651702880859375,4.371234893798828,edited_ready_go.wav,minor,634.803955078125,61440
9,71936,0.986826479434967,,None_f9,C,0.3288324475288391,0.00018886326834922885,-986.45556640625,122.10710906982422,-8.819829940795898,2.3871383666992188,2.4619903564453125,26.93942642211914,43.08890151977539,41.082462310791016,24.720169067382812,27.196205139160156,9.065500259399414,-8.085456848144531,-10.307586669921875,edited_ready_go.wav,minor,459.18072509765625,66688
