,end_sample,energy,freesound_id,id,key,key_strength,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,scale,spec_centroid,start_sample
0,5266,79.88008880615234,469308,469308_f0,F,0.7456523180007935,0.0035739874051996297,-637.0266723632812,41.624725341796875,-22.731189727783203,2.1271419525146484,-1.423919677734375,16.739656448364258,-73.11192321777344,-33.758079528808594,-10.225639343261719,-57.51703643798828,31.461685180664062,-3.9563961029052734,-35.63641357421875,files/469308_2927958-hq.ogg,major,3088.94482421875,0
1,10532,12.168517112731934,469308,469308_f1,F#,0.6725012063980103,0.001013044164609058,-866.093505859375,73.89553833007812,-22.791566848754883,9.186107635498047,-3.194622039794922,-6.295627593994141,-16.140098571777344,-40.898345947265625,3.8871536254882812,-39.849098205566406,-2.5285797119140625,44.02553939819336,-16.01754379272461,files/469308_2927958-hq.ogg,major,1464.8409423828125,5266
2,15798,0.5520455837249756,469308,469308_f2,Eb,0.572033166885376,0.00012753880662334948,-920.2185668945312,18.566238403320312,-19.118654251098633,5.855922698974609,-0.7830429077148438,-9.898910522460938,8.166149139404297,-9.261344909667969,7.233829498291016,-46.1292839050293,-2.8843040466308594,41.716739654541016,-42.347347259521484,files/469308_2927958-hq.ogg,major,3509.93701171875,10532
3,21064,0.06863756477832794,469308,469308_f3,C,0.42407822608947754,3.155117710869076e-05,-1009.8193359375,99.69730377197266,-24.19789695739746,-10.250411987304688,0.717315673828125,-22.25583267211914,-30.48456573486328,18.132080078125,14.162872314453125,-12.837570190429688,-5.2972259521484375,4.045360565185547,-13.948020935058594,files/469308_2927958-hq.ogg,major,1546.5828857421875,15798
4,26330,0.07630567997694016,469308,469308_f4,C,0.5544041991233826,3.387132695633062e-05,-1002.3426513671875,105.83451080322266,-18.05695152282715,-3.252777099609375,7.885154724121094,-30.361492156982422,-53.02014923095703,-1.3233489990234375,10.90423583984375,-8.890800476074219,-6.4106292724609375,1.134796142578125,-11.630706787109375,files/469308_2927958-hq.ogg,minor,1265.7633056640625,21064
5,5266,59.45197677612305,100759,100759_f0,E,0.6084682941436768,0.0029323149035287545,-755.8442993164062,116.63017272949219,-11.340400695800781,-17.361282348632812,2.991178512573242,-3.2828845977783203,-43.23467254638672,-31.975900650024414,-34.17829895019531,-40.33273696899414,-7.066196441650391,-19.954442977905273,-29.705942153930664,files/100759_321967-hq.ogg,major,1057.3726806640625,0
6,10532,171.90536499023438,100759,100759_f1,C#,0.4427540600299835,0.005972595301771907,-646.592041015625,42.50752258300781,20.437931060791016,-7.610149383544922,-4.309406280517578,-105.26148986816406,19.277244567871094,-25.083995819091797,-49.11577606201172,-38.523948669433594,-22.301342010498047,18.695466995239258,0.7347965240478516,files/100759_321967-hq.ogg,major,1960.2093505859375,5266
7,15798,34.37730407714844,100759,100759_f2,Eb,0.7574487924575806,0.0020315207956953735,-712.0899047851562,31.335723876953125,-10.383914947509766,-17.235383987426758,-5.317737579345703,-104.1893310546875,-4.823860168457031,-44.03773498535156,-34.10291290283203,-16.536190032958984,16.307085037231445,27.750961303710938,-13.512107849121094,files/100759_321967-hq.ogg,minor,2342.83056640625,10532
8,21064,0.015040477737784386,100759,100759_f3,Eb,0.45842522382736206,1.1409967826474904e-05,-1110.722900390625,19.451030731201172,-15.881429672241211,-0.15534210205078125,11.110084533691406,-5.7667999267578125,-0.18653488159179688,12.253402709960938,6.603614807128906,3.2848548889160156,13.146318435668945,10.86538314819336,-8.915794372558594,files/100759_321967-hq.ogg,minor,3219.942138671875,15798
9,5266,0.010377645492553711,220662,220662_f0,F#,0.30981674790382385,8.898264768455946e-06,-1135.7677001953125,3.748119354248047,3.4654273986816406,3.4064102172851562,3.3421096801757812,3.7393798828125,3.725086212158203,3.7047576904296875,3.6789321899414062,3.647296905517578,3.610107421875,3.5673484802246094,3.5191192626953125,files/220662_3824909-hq.ogg,minor,2425.988525390625,0
10,10532,340.923583984375,220662,220662_f1,Eb,0.4756597876548767,0.00944929488747463,-702.491943359375,3.1185951232910156,-6.206892013549805,-29.510578155517578,-15.165311813354492,-118.19147491455078,-68.19438934326172,-43.79780960083008,-7.316272735595703,22.140830993652344,32.291175842285156,27.694955825805664,28.54135513305664,files/220662_3824909-hq.ogg,minor,1115.2620849609375,5266
11,15798,246.84214782714844,220662,220662_f2,Ab,0.6645542979240417,0.0076109722816939595,-718.1287841796875,47.49909973144531,38.701812744140625,-1.48211669921875,-40.45438766479492,-93.5760498046875,-40.960689544677734,-41.296630859375,-7.373237609863281,18.922420501708984,44.22044372558594,36.41063690185547,64.95353698730469,files/220662_3824909-hq.ogg,major,1033.248779296875,10532
12,21064,0.042690299451351166,220662,220662_f3,F,0.8616103529930115,2.2953011851051758e-05,-1086.2247314453125,52.49686813354492,17.072994232177734,-11.419296264648438,-23.39291000366211,8.952178955078125,-19.458049774169922,-18.337200164794922,-2.2562484741210938,12.574665069580078,25.184717178344727,36.78095626831055,37.09465026855469,files/220662_3824909-hq.ogg,minor,877.4004516601562,15798
13,5266,0.015382403507828712,503020,503020_f0,F#,0.5030673742294312,1.1583113886537635e-05,-1065.3900146484375,84.65143585205078,3.2370338439941406,6.812797546386719,2.4040145874023438,44.483585357666016,13.257389068603516,5.6148223876953125,10.3284912109375,9.095081329345703,-1.2941207885742188,-9.114639282226562,-5.776008605957031,files/503020_3953729-hq.ogg,minor,647.7484130859375,0
14,10532,7.753446578979492,503020,503020_f1,F,0.46660518646240234,0.0007489980331084776,-897.2598266601562,170.1583251953125,14.02182388305664,11.242454528808594,-1.7391204833984375,-25.311965942382812,-89.06452178955078,-47.70744323730469,-14.268768310546875,-3.5305137634277344,4.578300476074219,-18.16292953491211,11.847291946411133,files/503020_3953729-hq.ogg,minor,841.382080078125,5266
15,15798,6.178704261779785,503020,503020_f2,C,0.6144496202468872,0.0006433101919183611,-913.6239013671875,162.82891845703125,24.585102081298828,18.308202743530273,-8.500469207763672,-33.75791931152344,-83.90164947509766,-32.400352478027344,-8.714828491210938,-6.380428314208984,4.106269836425781,-6.317756652832031,16.125402450561523,files/503020_3953729-hq.ogg,minor,801.431884765625,10532
16,21064,3.4259865283966064,503020,503020_f3,C,0.38102227449417114,0.00043333676936189075,-941.1803588867188,177.981689453125,20.86148452758789,22.408700942993164,1.8430557250976562,7.034332275390625,-76.42493438720703,-52.86088562011719,-3.3158645629882812,12.455204010009766,8.359941482543945,-14.588668823242188,-7.173454284667969,files/503020_3953729-hq.ogg,major,853.35888671875,15798
