,end_sample,energy,freesound_id,id,key,key_strength,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,scale,spec_centroid,start_sample
0,36352,584.7459716796875,,None_f0,Bb,0.6725332140922546,0.005580307245254517,-599.0414428710938,108.91114807128906,-13.526697158813477,-2.043550491333008,1.4868450164794922,33.065948486328125,20.09259033203125,9.990283966064453,-5.110177993774414,-0.4985771179199219,-1.5070648193359375,-0.39536476135253906,4.2754364013671875,edited_MISSION.wav,minor,1526.268310546875,23552
1,49152,178.03274536132812,,None_f1,Bb,0.5746102929115295,0.002515503764152527,-799.3125,196.0350799560547,-9.33163833618164,-1.613800048828125,0.24029541015625,22.14275360107422,25.097984313964844,19.711959838867188,-0.3256797790527344,-4.659572601318359,4.672283172607422,1.4012527465820312,-6.674358367919922,edited_MISSION.wav,minor,460.80963134765625,36352
2,62464,839.5805053710938,,None_f2,G,0.8312126398086548,0.006837203525579893,-788.5584716796875,175.17445373535156,-0.052005767822265625,-0.9430961608886719,3.6135597229003906,-2.2045555114746094,54.488182067871094,26.253555297851562,9.097801208496094,8.518802642822266,10.336978912353516,-0.8403358459472656,6.969137191772461,edited_MISSION.wav,major,524.5362548828125,49152
3,75776,24.126869201660156,,None_f3,Bb,0.3819904327392578,0.0006339169608858916,-912.7928466796875,149.31785583496094,-1.6228446960449219,-7.376686096191406,0.854400634765625,43.25440979003906,34.19955062866211,23.998035430908203,15.831554412841797,7.384552001953125,12.24224853515625,1.4886207580566406,3.607738494873047,edited_MISSION.wav,minor,683.9774169921875,62464
4,88832,489.614013671875,,None_f4,Bb,0.38524189591407776,0.004857266942660014,-855.9419555664062,137.7036895751953,4.1512298583984375,9.118623733520508,7.97967529296875,39.789894104003906,39.02814483642578,24.44356918334961,24.492961883544922,5.081226348876953,11.911417007446289,8.970321655273438,1.3328018188476562,edited_MISSION.wav,minor,1146.796875,75776
5,101888,142.3433380126953,,None_f5,F,0.7762646675109863,0.0021228816579369936,-771.382568359375,132.18731689453125,0.26873779296875,-0.9029026031494141,-10.587726593017578,28.41055679321289,34.220577239990234,27.857280731201172,14.586345672607422,10.97769546508789,0.08926773071289062,-4.210721969604492,-7.360361099243164,edited_MISSION.wav,minor,482.72943115234375,88832
6,115200,166.47007751464844,,None_f6,Bb,0.5485270619392395,0.0023123414184038457,-782.595458984375,128.32139587402344,-5.531866073608398,7.702848434448242,-9.592672348022461,51.80958938598633,25.400794982910156,6.617168426513672,-0.033229827880859375,12.119094848632812,18.23978042602539,9.032493591308594,6.564279556274414,edited_MISSION.wav,minor,470.2500915527344,101888
7,128512,26.87615966796875,,None_f7,Eb,0.6610187292098999,0.0006814480114441651,-1001.8306884765625,147.21463012695312,-2.591663360595703,2.1496124267578125,-4.220878601074219,73.07101440429688,38.44417190551758,28.961231231689453,25.200592041015625,20.45395278930664,10.810937881469727,0.2493133544921875,-6.127655029296875,edited_MISSION.wav,minor,934.8532104492188,115200
8,141824,275.53289794921875,,None_f8,Bb,0.5310819149017334,0.0032409547040095697,-756.4772338867188,139.96475219726562,-1.1239643096923828,-0.7655372619628906,2.6513748168945312,29.377056121826172,30.987958908081055,8.705265045166016,8.355440139770508,4.9279632568359375,6.658016204833984,-3.3432559967041016,-3.3973007202148438,edited_MISSION.wav,minor,1316.409423828125,128512
9,155136,38.546531677246094,,None_f9,E,0.5444040894508362,0.000867694544677551,-885.9230346679688,156.12742614746094,2.1364479064941406,8.663167953491211,8.055778503417969,55.444091796875,36.01148223876953,26.922924041748047,-3.7267303466796875,-9.31854248046875,2.7665557861328125,-8.958274841308594,5.848287582397461,edited_MISSION.wav,minor,795.3662109375,141824
10,168192,480.2059020996094,,None_f10,Eb,0.6255181431770325,0.0047945330540339155,-886.8991088867188,152.9075469970703,1.2276153564453125,13.223339080810547,6.603992462158203,46.55799865722656,42.63218307495117,35.38335037231445,14.628332138061523,5.765369415283203,12.85831069946289,2.3564796447753906,-2.8097267150878906,edited_MISSION.wav,major,414.56011962890625,155136
11,181248,23.498432159423828,,None_f11,C,0.40450727939605713,0.0006350178782846414,-901.4259643554688,156.12655639648438,-1.1142234802246094,4.66632080078125,11.119384765625,48.585792541503906,37.02879333496094,17.20287322998047,17.664134979248047,8.324161529541016,-4.741539001464844,-8.379196166992188,-1.1166496276855469,edited_MISSION.wav,major,1444.84912109375,168192
