,end_sample,energy,freesound_id,id,key,key_strength,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,scale,spec_centroid,start_sample
0,13166,92.41216278076172,469308,469308_f0,F,0.4510757029056549,0.0015761033390931187,-752.8132934570312,57.77790451049805,-34.28190612792969,7.259284973144531,4.325174331665039,14.454376220703125,-68.31224822998047,-41.925472259521484,-10.845659255981445,-61.84088134765625,9.660812377929688,16.175174713134766,-31.300704956054688,files/469308_2927958-hq.ogg,minor,2928.70947265625,0
1,26332,0.3328523635864258,469308,469308_f1,Eb,0.8992360234260559,3.634584261511626e-05,-1035.0137939453125,81.07584381103516,-20.66329002380371,-8.907081604003906,1.8414535522460938,-15.600757598876953,-28.37085723876953,8.252731323242188,15.338356018066406,-5.910377502441406,-5.0864410400390625,3.1759071350097656,-12.578788757324219,files/469308_2927958-hq.ogg,major,2870.98046875,13166
2,13166,265.33392333984375,100759,100759_f0,E,0.470652312040329,0.0031951212980782353,-644.13525390625,79.00457763671875,5.320716857910156,-20.889381408691406,-8.348657608032227,-102.44036865234375,-14.687385559082031,-29.81477928161621,-32.949607849121094,-34.74562072753906,-29.090896606445312,0.5977821350097656,-7.363061904907227,files/100759_321967-hq.ogg,minor,1856.306396484375,0
3,13166,578.3619995117188,220662,220662_f0,F,0.44113436341285706,0.0053854253758200575,-786.3716430664062,6.374660491943359,-7.7487945556640625,-32.551605224609375,-15.696640014648438,-108.75782775878906,-59.351524353027344,-33.85082244873047,-0.0755767822265625,24.74205207824707,36.49592590332031,32.70600509643555,32.362762451171875,files/220662_3824909-hq.ogg,minor,1084.874267578125,0
4,13166,12.975398063659668,503020,503020_f0,D,0.7106766104698181,0.00042299675249716584,-959.6542358398438,156.2197265625,19.42331314086914,14.448516845703125,-2.7562599182128906,-13.40838623046875,-83.01041412353516,-46.96839141845703,-3.0871658325195312,5.837299346923828,-2.3073654174804688,-5.4026031494140625,6.913087844848633,files/503020_3953729-hq.ogg,major,820.2539672851562,0
5,26332,8.230229377746582,503020,503020_f1,E,0.5266802906990051,0.0003117971754936069,-965.0166625976562,160.26394653320312,23.328723907470703,25.052698135375977,2.15289306640625,2.8321990966796875,-79.97827911376953,-58.30207061767578,-7.628181457519531,10.89664077758789,3.2045364379882812,-8.255027770996094,1.689361572265625,files/503020_3953729-hq.ogg,minor,814.6613159179688,13166
6,39498,0.17125248908996582,503020,503020_f2,C,0.5219485759735107,2.3285353978716383e-05,-1082.6790771484375,62.20136260986328,2.8092689514160156,1.7598114013671875,-3.2012481689453125,24.54043960571289,-8.537853240966797,-19.990306854248047,-12.749763488769531,-1.5955162048339844,3.0894546508789062,2.291027069091797,1.7621307373046875,files/503020_3953729-hq.ogg,major,815.15283203125,26332
7,52664,9.742029190063477,503020,503020_f3,D,0.39423444867134094,0.00034909311370177415,-963.7347412109375,128.38299560546875,7.005931854248047,21.1060733795166,7.503868103027344,-46.855403900146484,-64.36591339111328,-4.7679290771484375,2.6311721801757812,-3.1394920349121094,12.553934097290039,7.505260467529297,-6.940376281738281,files/503020_3953729-hq.ogg,major,1062.8033447265625,39498
8,65830,2.6653966903686523,503020,503020_f4,E,0.5987322330474854,0.00014648953777813322,-1001.666015625,116.8671646118164,5.610347747802734,15.127838134765625,14.412330627441406,-9.8916015625,-45.639686584472656,-8.363632202148438,13.594863891601562,8.434879302978516,4.3034210205078125,1.7505340576171875,-0.8628616333007812,files/503020_3953729-hq.ogg,major,1040.9544677734375,52664
9,13166,5.961294651031494,436782,436782_f0,A,0.8049874305725098,0.0002512027296309375,-907.2418212890625,147.54934692382812,2.063579559326172,-29.122234344482422,-29.409740447998047,-40.28731918334961,-10.637004852294922,11.656417846679688,-11.182365417480469,-7.28558349609375,8.332437515258789,1.9463348388671875,2.9068984985351562,files/436782_4347097-hq.ogg,minor,1297.6156005859375,0
