,end_sample,freesound_id,id,key,key_strength,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,scale,spec_centroid,start_sample
0,6568,246495,246495_f0,C,0.6682246327400208,0.00018389303414162418,-1025.6622314453125,131.13894653320312,6.797924041748047,1.657958984375,-4.027717590332031,73.94345092773438,30.83469009399414,11.469345092773438,5.293724060058594,5.163562774658203,5.6742095947265625,4.953067779541016,6.192583084106445,files/246495_3735801-hq.ogg,major,392.0673522949219,0
1,13136,246495,246495_f1,Bb,0.5660581588745117,0.0005176889910912834,-833.3218994140625,104.89009857177734,-1.5297622680664062,14.011161804199219,4.540851593017578,-5.174102783203125,10.685470581054688,-24.455196380615234,-23.980491638183594,-46.2244873046875,-27.221973419189453,-15.320661544799805,0.4948272705078125,files/246495_3735801-hq.ogg,minor,943.1289672851562,6568
2,19704,246495,246495_f2,E,0.7520623207092285,0.00029236248872457264,-885.015625,49.99059295654297,19.764724731445312,5.814380645751953,-2.2380504608154297,-20.911083221435547,21.186016082763672,-21.303747177124023,-18.531963348388672,-28.44597625732422,-10.433456420898438,30.895404815673828,1.185150146484375,files/246495_3735801-hq.ogg,minor,1650.17822265625,13136
3,6568,151822,151822_f0,C,0.567055881023407,0.008916328072402712,-726.097900390625,94.3843765258789,19.163455963134766,19.315025329589844,5.669208526611328,-175.73629760742188,-77.20690155029297,-76.7408447265625,-22.584392547607422,-5.570667266845703,-16.242481231689453,-11.185338973999023,16.14254379272461,files/151822_1587289-hq.ogg,minor,1464.429931640625,0
4,13136,151822,151822_f1,A,0.5789754986763,0.005326609082982834,-816.0720825195312,85.60075378417969,-3.518657684326172,-4.5343475341796875,-5.9975738525390625,-160.2596435546875,-45.77581024169922,-26.968708038330078,25.919960021972656,-5.673122406005859,-31.486045837402344,-13.836227416992188,-12.616714477539062,files/151822_1587289-hq.ogg,minor,2012.360595703125,6568
5,19704,151822,151822_f2,D,0.7489443421363831,0.004641940329455284,-864.2235717773438,40.735260009765625,0.9062309265136719,-7.487144470214844,-24.085947036743164,-123.05939483642578,-10.77071762084961,45.74822998046875,25.99393653869629,-20.216876983642578,-19.92538070678711,-13.76772689819336,-12.364498138427734,files/151822_1587289-hq.ogg,major,2411.539306640625,13136
6,26272,151822,151822_f3,G,0.5601232051849365,0.005834976154471431,-1037.6732177734375,35.14255905151367,8.283870697021484,12.758026123046875,-6.980945587158203,-94.18913269042969,-58.437782287597656,27.928287506103516,36.037139892578125,-10.486610412597656,-23.717697143554688,1.3550872802734375,6.372766494750977,files/151822_1587289-hq.ogg,major,1656.226806640625,19704
7,32840,151822,151822_f4,Bb,0.40091997385025024,0.005723310881787764,-705.7393798828125,168.5490264892578,-27.882856369018555,-17.848308563232422,-9.048957824707031,-73.21705627441406,-30.063339233398438,-42.689125061035156,-20.977371215820312,-0.5268402099609375,-8.470207214355469,-22.78354835510254,-28.482532501220703,files/151822_1587289-hq.ogg,minor,1492.4039306640625,26272
8,39408,151822,151822_f5,G,0.728188157081604,0.005715251114133214,-675.4578857421875,152.450927734375,-17.005701065063477,-2.3391456604003906,-2.006288528442383,-90.039794921875,-18.788516998291016,-20.851747512817383,-11.040103912353516,-6.273462295532227,-2.1823806762695312,-18.020038604736328,-29.04507064819336,files/151822_1587289-hq.ogg,minor,2057.767333984375,32840
9,45976,151822,151822_f6,C,0.7360047101974487,0.0009085329818957906,-1130.7979736328125,10.508953094482422,9.454486846923828,9.426994323730469,9.604232788085938,10.201873779296875,10.401508331298828,10.646377563476562,10.357681274414062,9.950687408447266,10.037759780883789,10.251514434814453,9.95134162902832,files/151822_1587289-hq.ogg,minor,2112.30615234375,39408
10,52544,151822,151822_f7,A,-1.0,6.701397352858166e-09,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,files/151822_1587289-hq.ogg,minor,230.99032592773438,45976
11,59112,151822,151822_f8,F,0.7470716834068298,0.006907872538038061,-737.7726440429688,88.33738708496094,30.174633026123047,30.75627899169922,8.746593475341797,-184.77757263183594,-67.84741973876953,-70.77426147460938,-5.360931396484375,33.867454528808594,11.254911422729492,10.76480484008789,23.406211853027344,files/151822_1587289-hq.ogg,major,1275.4049072265625,52544
12,65680,151822,151822_f9,F#,0.5734686851501465,0.00656314308547509,-720.7462158203125,33.14002227783203,16.47650146484375,20.856769561767578,14.778398513793945,-189.98684692382812,-74.77214050292969,-76.97122192382812,-16.297367095947266,14.501701354980469,-9.205642700195312,-21.742368698120117,6.738128662109375,files/151822_1587289-hq.ogg,major,1479.894287109375,59112
13,72248,151822,151822_f10,E,0.7496501803398132,0.0024414535852355585,-864.1637573242188,43.07856750488281,13.429847717285156,13.926471710205078,5.812255859375,-150.76187133789062,-74.0032958984375,-60.65840148925781,-2.302776336669922,28.047649383544922,5.130420684814453,-12.721090316772461,11.02076530456543,files/151822_1587289-hq.ogg,minor,1484.22998046875,65680
14,78816,151822,151822_f11,Eb,0.4055095911026001,0.0002607209891552757,-1009.3502197265625,41.59840393066406,5.234012603759766,0.58831787109375,0.5172996520996094,-99.68143463134766,-58.2664909362793,-17.813316345214844,3.209636688232422,36.08283233642578,7.548242568969727,-8.753829956054688,10.603086471557617,files/151822_1587289-hq.ogg,minor,1588.02783203125,72248
15,85384,151822,151822_f12,G,0.6977760791778564,4.507279949178794e-06,-1126.2630615234375,14.838756561279297,-5.666048049926758,-4.6994781494140625,-5.265174865722656,10.22772216796875,7.116046905517578,6.05780029296875,4.883766174316406,1.3784217834472656,-3.97784423828125,-7.6872406005859375,-7.596641540527344,files/151822_1587289-hq.ogg,major,6708.68701171875,78816
16,6568,527375,527375_f0,Bb,0.20871691405773163,0.002697785792193953,-667.7866821289062,164.44430541992188,-5.380315780639648,0.7615089416503906,1.5362377166748047,-34.78858184814453,-18.79308319091797,-19.28351593017578,11.373136520385742,-4.74791145324707,-10.959663391113281,-9.110185623168945,-1.7083930969238281,files/527375_3364318-hq.ogg,minor,1292.2152099609375,0
17,6568,454716,454716_f0,E,0.42606788873672485,0.0010015772843912662,-768.9442749023438,176.3562469482422,14.17232894897461,10.788848876953125,-5.662609100341797,-39.237117767333984,43.814701080322266,13.479000091552734,2.2696762084960938,-0.4703025817871094,-11.361007690429688,-5.096168518066406,9.40174674987793,files/454716_7005313-hq.ogg,minor,985.8015747070312,0
18,13136,454716,454716_f1,Ab,0.6186704039573669,0.0008322200153690018,-801.0048828125,175.32925415039062,0.5935096740722656,-2.3285560607910156,0.2495880126953125,-40.52144241333008,30.92483901977539,-0.959625244140625,3.9457626342773438,2.3730506896972656,-2.621490478515625,5.545085906982422,1.620025634765625,files/454716_7005313-hq.ogg,major,1023.4638061523438,6568
19,19704,454716,454716_f2,F,0.8340206742286682,0.0007122066802142163,-852.397705078125,213.60012817382812,-5.632120132446289,-2.4472732543945312,-0.2874755859375,-12.100692749023438,-4.834117889404297,23.095001220703125,8.590461730957031,9.058292388916016,6.671730041503906,5.726299285888672,1.144927978515625,files/454716_7005313-hq.ogg,minor,614.201171875,13136
20,26272,454716,454716_f3,D,0.6947908401489258,0.000895414732841278,-777.2056274414062,177.27783203125,6.210792541503906,7.788730621337891,1.1765022277832031,-52.963523864746094,29.20854949951172,11.774089813232422,1.9627609252929688,-2.82061767578125,-10.126583099365234,-5.778728485107422,4.058513641357422,files/454716_7005313-hq.ogg,minor,940.1526489257812,19704
21,6568,15329,15329_f0,C,0.4187364876270294,0.011630309194362701,-692.7600708007812,261.00714111328125,-5.679143905639648,7.617036819458008,6.157970428466797,-17.136165618896484,-2.986774444580078,12.319183349609375,-1.6097030639648438,1.0374870300292969,15.361242294311523,3.1708984375,1.2698936462402344,files/15329_4948-hq.ogg,minor,878.9713745117188,0
22,13136,15329,15329_f1,Ab,0.4842129051685333,0.010128850623257413,-709.2738037109375,259.7620849609375,0.9165000915527344,3.201366424560547,2.3839454650878906,-95.013671875,-15.48660659790039,61.748416900634766,16.262969970703125,-14.616657257080078,6.1082305908203125,22.218524932861328,3.9255294799804688,files/15329_4948-hq.ogg,major,1279.1334228515625,6568
23,19704,15329,15329_f2,F,0.632392168045044,0.0055403581635525105,-740.9288330078125,278.9154357910156,13.84610366821289,10.76229476928711,4.680419921875,19.582950592041016,-45.97355651855469,-38.658634185791016,27.865001678466797,4.445304870605469,3.0825538635253906,-20.247241973876953,-2.5550155639648438,files/15329_4948-hq.ogg,minor,527.294921875,13136
24,26272,15329,15329_f3,Ab,0.607532262802124,0.006434077612520281,-619.7379760742188,209.1931610107422,0.06306076049804688,-7.69805908203125,4.462303161621094,-96.22586059570312,42.72059631347656,18.736419677734375,-33.55601501464844,6.632434844970703,12.052556991577148,-2.2463912963867188,4.002159118652344,files/15329_4948-hq.ogg,major,1609.6802978515625,19704
25,32840,15329,15329_f4,D,0.4977644681930542,0.008895572007210624,-654.8199462890625,70.54882049560547,-10.72439193725586,-8.481887817382812,5.8797454833984375,-120.24571228027344,88.07088470458984,-28.515872955322266,15.12724494934082,28.14012908935547,-24.79943084716797,11.910884857177734,20.29136848449707,files/15329_4948-hq.ogg,minor,3399.120849609375,26272
26,39408,15329,15329_f5,F#,0.38405272364616394,0.008779827192262378,-617.927490234375,119.40785217285156,-12.850238800048828,-3.9667205810546875,2.07513427734375,-88.40850830078125,67.14375305175781,-52.61602020263672,0.19108200073242188,27.951248168945312,-22.09909439086914,7.2631988525390625,16.4626522064209,files/15329_4948-hq.ogg,minor,3388.294189453125,32840
27,6568,58280,58280_f0,C,0.3820076882839203,0.014092976225133936,-508.9493103027344,158.22506713867188,-2.7332820892333984,-10.534814834594727,-8.796707153320312,-65.89265441894531,-0.9124622344970703,-12.87057113647461,-2.291769027709961,-8.59732437133789,-1.9742870330810547,-12.848995208740234,-6.753437042236328,files/58280_169613-hq.ogg,major,1558.260986328125,0
28,13136,58280,58280_f1,A,0.5596849918365479,0.0037179515945490326,-854.0505981445312,89.46163177490234,-8.508394241333008,10.914031982421875,10.694328308105469,-65.98186492919922,27.96230697631836,-26.588607788085938,-9.24627685546875,16.850872039794922,27.585695266723633,12.96829605102539,3.4765472412109375,files/58280_169613-hq.ogg,minor,1714.9720458984375,6568
29,19704,58280,58280_f2,C,0.7876478433609009,0.00904860014456634,-603.8427734375,162.87254333496094,-2.2976207733154297,-12.47762680053711,-6.901782989501953,-78.44412231445312,-14.2000732421875,-22.418088912963867,-8.13311767578125,-21.581022262573242,-2.8850860595703125,1.1350135803222656,11.372272491455078,files/58280_169613-hq.ogg,minor,1042.7041015625,13136
30,26272,58280,58280_f3,F,0.660831093788147,0.010440004002597822,-552.6578369140625,171.6871337890625,-4.841791152954102,1.869333267211914,0.4774894714355469,-63.68699645996094,-8.191757202148438,-12.72021484375,-7.786073684692383,-10.063276290893555,10.23646354675293,1.247232437133789,-2.0600738525390625,files/58280_169613-hq.ogg,major,1091.7025146484375,19704
31,32840,58280,58280_f4,C,0.7770953178405762,0.006775238046402182,-687.6166381835938,96.66698455810547,12.237071990966797,8.045801162719727,-2.3099727630615234,-90.99855041503906,-9.325973510742188,-21.412378311157227,-17.80521011352539,6.862895965576172,18.937814712524414,-4.207283020019531,-5.217380523681641,files/58280_169613-hq.ogg,major,1750.7252197265625,26272
32,39408,58280,58280_f5,C,0.7554189562797546,0.014200953995847528,-582.9093017578125,194.64044189453125,8.842103958129883,4.189167022705078,-16.03531265258789,-65.53904724121094,-27.655471801757812,-35.85025405883789,-4.81158447265625,-5.1452484130859375,-7.108299255371094,-13.729145050048828,0.054920196533203125,files/58280_169613-hq.ogg,minor,872.6239013671875,32840
33,6568,58281,58281_f0,C,0.9109596610069275,0.0026924671121985265,-638.314208984375,92.64575958251953,-7.41981315612793,13.472834587097168,7.22822380065918,-89.00440979003906,-14.11404800415039,-24.332548141479492,-25.996530532836914,-8.056520462036133,27.239450454711914,9.121164321899414,-12.943519592285156,files/58281_169613-hq.ogg,minor,1668.155517578125,0
34,13136,58281,58281_f1,G,0.15397390723228455,0.0010802315300768388,-955.4156494140625,118.92903900146484,15.19057846069336,-0.08644866943359375,-11.41226577758789,-22.946056365966797,19.399494171142578,30.058475494384766,-8.429290771484375,5.948001861572266,17.828516006469727,7.804439544677734,11.603044509887695,files/58281_169613-hq.ogg,minor,1736.786865234375,6568
35,19704,58281,58281_f2,C,0.553705096244812,0.005355604383164288,-889.7060546875,112.5593490600586,15.822437286376953,16.73081398010254,-10.52725601196289,-71.57276916503906,-12.194828033447266,-10.180419921875,-18.637008666992188,-22.545188903808594,-1.8695297241210938,-11.806510925292969,-19.372215270996094,files/58281_169613-hq.ogg,minor,1459.4779052734375,13136
36,26272,58281,58281_f3,E,0.5533059239387512,0.009693026107063248,-562.6591796875,98.25958251953125,1.6784858703613281,14.129470825195312,-3.3447017669677734,-104.77163696289062,-23.286998748779297,-3.952322006225586,11.098617553710938,-14.534931182861328,-9.832023620605469,1.950826644897461,-13.977499008178711,files/58281_169613-hq.ogg,minor,1530.1356201171875,19704
37,6568,61858,61858_f0,D,0.7860081195831299,0.0046076847197222505,-531.0336303710938,62.24150085449219,-6.88050651550293,8.692586898803711,-3.197742462158203,-48.21554946899414,-8.887296676635742,-8.363092422485352,-11.109859466552734,-10.114688873291016,-5.587774276733398,1.334320068359375,1.3020191192626953,files/61858_4948-hq.ogg,major,2973.841796875,0
38,13136,61858,61858_f1,F#,0.6657133102416992,0.0032095427054290213,-579.84521484375,75.0074691772461,-4.122386932373047,4.315736770629883,0.32294654846191406,-27.011798858642578,-4.0980224609375,-12.234636306762695,-20.419553756713867,-0.8640289306640625,3.5384254455566406,5.349470138549805,-7.416593551635742,files/61858_4948-hq.ogg,major,2318.497802734375,6568
39,19704,61858,61858_f2,A,0.5952290892601013,0.0008850365550451244,-863.5556030273438,193.36154174804688,-8.063375473022461,-1.1581878662109375,8.802543640136719,12.4317626953125,52.39813232421875,22.737075805664062,-16.286544799804688,-2.744884490966797,-14.453216552734375,-7.686500549316406,0.2617340087890625,files/61858_4948-hq.ogg,major,446.36163330078125,13136
40,6568,29942,29942_f0,F,0.7243905067443848,0.018481248769632357,-503.6097412109375,120.78799438476562,26.46710205078125,-4.680511474609375,-7.72770881652832,-16.707727432250977,-16.52965545654297,-18.48101234436035,10.890787124633789,15.075897216796875,6.300251007080078,-4.201713562011719,16.041122436523438,files/29942_128404-hq.ogg,major,1510.908935546875,0
41,6568,208759,208759_f0,C,0.7580965757369995,0.0015780321718278669,-715.7068481445312,170.6973419189453,0.40351104736328125,5.133054733276367,9.24930191040039,-22.340106964111328,14.254512786865234,-13.153064727783203,-4.369647979736328,-5.302864074707031,1.69097900390625,-5.357381820678711,1.2116241455078125,files/208759_3895722-hq.ogg,minor,1003.0133666992188,0
42,13136,208759,208759_f1,A,0.6030579805374146,0.001985444947078951,-700.3104858398438,161.31275939941406,1.4505043029785156,6.401374816894531,3.1373043060302734,-13.265193939208984,19.358474731445312,-10.327003479003906,-3.936199188232422,-5.853708267211914,-6.821784973144531,-4.5638580322265625,0.6138534545898438,files/208759_3895722-hq.ogg,minor,1020.7763061523438,6568
43,19704,208759,208759_f2,C#,0.6247919797897339,0.001377939161516717,-715.7272338867188,164.48919677734375,-0.26924896240234375,6.456001281738281,4.854217529296875,-23.98767852783203,24.597270965576172,-13.685222625732422,-0.3844108581542969,-5.511585235595703,1.9152450561523438,-5.105503082275391,-1.1169357299804688,files/208759_3895722-hq.ogg,major,787.6890869140625,13136
